       ID,grpID, flag ,       ra ,      dec ,   MagK ,     Ks ,    logK ,  Vls ,  dist , mDist , R_theta , sigmaP_dyn , sigmaP_lum ,Mv_dyn,Mv_lum,Rg_angular,Rg_dyn,R2t_dyn,R2t_lum,r2t_lum,tX_dyn,tX_lum,No_Galaxies,nest
  1007428 ,  4522 ,    0 ,  70.2751 ,   5.8179 , -22.69 ,   6.62 , 10.3878 ,  564 ,  7.29 ,  7.29 , 0.00000 ,        0.0 ,       77.8 , 0.00e+00 , 9.43e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.211 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007428
  1007437 ,  4535 ,    0 , 311.4230 , -34.8817 , -23.29 ,   6.47 , 10.6265 ,  660 ,  8.92 ,  8.92 , 0.00000 ,        0.0 ,       94.4 , 0.00e+00 , 1.68e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.256 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007437
  1007450 ,  4554 ,    0 , 114.0956 , -49.2840 , -23.12 ,   8.27 , 10.5588 , 1462 , 18.90 , 18.90 , 0.00000 ,        0.0 ,       89.1 , 0.00e+00 , 1.41e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.241 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007450
  1007456 ,  4562 ,    0 , 160.8393 , -24.6715 , -22.93 ,   5.53 , 10.4851 ,  403 ,  4.92 ,  4.92 , 0.00000 ,        0.0 ,       83.9 , 0.00e+00 , 1.18e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.227 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007456
  1007475 ,  4602 ,    0 , 111.6648 ,  46.0982 , -21.68 ,  10.31 ,  9.9822 , 1655 , 24.96 , 24.96 , 0.00000 ,        0.0 ,       59.4 , 0.00e+00 , 4.20e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.161 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007475
  1007476 ,  4604 ,    0 ,  11.5086 ,  -1.3896 , -22.70 ,   8.44 , 10.3927 , 1283 , 16.94 , 16.94 , 0.00000 ,        0.0 ,       78.1 , 0.00e+00 , 9.54e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.212 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007476
  1007489 ,  4625 ,    0 ,  73.8572 ,   4.7564 , -23.04 ,   8.79 , 10.5268 , 1588 , 23.19 , 23.19 , 0.00000 ,        0.0 ,       86.8 , 0.00e+00 , 1.31e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.235 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007489
  1007504 ,  4650 ,    0 , 177.8854 ,  -7.9254 , -23.34 ,   7.74 , 10.6463 ,  946 , 16.41 , 16.41 , 0.00000 ,        0.0 ,       96.0 , 0.00e+00 , 1.77e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.260 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007504
  1007506 ,  4652 ,    0 ,  48.4817 ,  18.6136 , -22.23 ,   9.41 , 10.2051 , 1566 , 21.34 , 21.34 , 0.00000 ,        0.0 ,       68.4 , 0.00e+00 , 6.39e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.185 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007506
  1007527 ,  4690 ,    0 , 130.5486 ,  43.5220 , -22.79 ,   8.50 , 10.4298 , 1152 , 18.16 , 18.16 , 0.00000 ,        0.0 ,       80.4 , 0.00e+00 , 1.04e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.218 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007527
  1007535 ,  4703 ,    0 , 214.8571 , -13.3240 , -22.96 ,   8.94 , 10.4964 , 1503 , 24.04 , 24.04 , 0.00000 ,        0.0 ,       84.7 , 0.00e+00 , 1.21e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.229 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007535
  1007543 ,  4733 ,    0 , 144.2540 ,  -8.4713 , -22.83 ,   8.43 , 10.4453 , 1291 , 17.93 , 17.93 , 0.00000 ,        0.0 ,       81.3 , 0.00e+00 , 1.08e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.220 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007543
  1007559 ,  4756 ,    0 , 227.2992 ,  39.6764 , -22.34 ,   9.62 , 10.2484 , 1695 , 24.70 , 24.70 , 0.00000 ,        0.0 ,       70.4 , 0.00e+00 , 6.98e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.191 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007559
  1007576 ,  4787 ,    0 , 196.5140 ,  14.9372 , -22.31 ,   9.35 , 10.2347 , 1513 , 21.44 , 21.44 , 0.00000 ,        0.0 ,       69.8 , 0.00e+00 , 6.79e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.189 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007576
  1007588 ,  4802 ,    0 , 296.4210 , -17.3591 , -20.25 ,  10.45 ,  9.4113 ,  959 , 13.78 ,  7.23 , 0.00000 ,        0.0 ,       44.1 , 0.00e+00 , 1.71e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.119 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007588
  1007599 ,  4821 ,    0 , 226.5168 ,  -5.3181 , -22.94 ,   8.68 , 10.4864 , 1312 , 21.00 , 21.00 , 0.00000 ,        0.0 ,       84.0 , 0.00e+00 , 1.19e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.228 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007599
  1007608 ,  4842 ,    0 ,  63.0875 ,   2.9590 , -22.47 ,   9.24 , 10.2992 , 1496 , 21.94 , 21.94 , 0.00000 ,        0.0 ,       73.0 , 0.00e+00 , 7.77e+11 ,      0.000 ,  0.000 ,   0.000 ,   0.198 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007608
  1007614 ,  4851 ,    0 ,  51.5201 ,  12.3739 , -23.15 ,   8.33 , 10.5716 , 1402 , 19.77 , 19.77 , 0.00000 ,        0.0 ,       90.1 , 0.00e+00 , 1.46e+12 ,      0.000 ,  0.000 ,   0.000 ,   0.244 ,   0.144 , 0.00e+00 , 6.80e+16 ,           1 , 1007614
