"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
4076226,6dFJ1249367-453146,192.4029,-45.5294,302.5969,17.3413,10.26,3304,3033,0.00,0,4076226,43296,2,3234,2963,11.926,11.856,-36.55,12.79,-8.28
4076289,6dFJ1357565-291725,209.4855,-29.2903,319.9269,31.3773,8.83,2953,2758,0.00,0,49676,49676,5,2673,2477,12.891,13.137,-27.04,16.28,3.02
4076303,6dFJ1039304-094609,159.8766,-9.7692,257.4727,41.1746,8.57,2420,2186,0.00,0,984392,984392,2,2441,2207,11.033,10.726,-11.10,21.35,-16.90
4076338,6dFJ0233375-390158,38.4063,-39.0327,248.6542,-65.6305,8.08,1971,1860,0.00,0,9747,9747,3,1977,1866,12.589,11.365,-3.73,-21.47,-12.00
4076339,6dFJ0319360-192345,49.9001,-19.3957,208.1275,-55.2360,7.46,1703,1637,0.00,0,12412,13505,4,1603,1537,12.544,12.134,5.13,-20.67,-17.07
4076342,6dFJ0235320-070936,38.8835,-7.1601,178.7520,-58.2498,7.63,1546,1570,0.00,0,9843,10266,16,1469,1487,13.170,12.844,6.83,-13.97,-7.61
4076398,6dFJ0625345-282716,96.3936,-28.4544,236.3792,-17.7805,9.99,2830,2595,0.00,0,4076398,4076398,2,2802,2566,11.825,11.236,-5.62,-7.54,-36.52
4076491,6dFJ0645194-312910,101.3307,-31.4860,240.9946,-14.9753,9.44,2786,2532,0.00,0,19558,19558,2,2796,2543,11.688,10.230,-7.71,-5.20,-32.59
4076537,6dFJ0702402-282648,105.6675,-28.4468,239.7303,-10.3038,9.52,1983,1728,0.00,0,20047,20047,8,2155,1899,12.869,13.149,-5.39,-1.84,-24.95
4076691,6dFJ0829216-165302,127.3402,-16.8838,239.6995,12.7367,9.68,1931,1675,0.00,0,4076691,4076691,1,1931,1675,11.401,,-4.65,7.24,-20.61
4077289,6dFJ1636205-653149,249.0855,-65.5301,323.5520,-12.1275,9.77,3036,2833,0.00,0,4077289,4077289,1,3036,2833,11.470,,-36.72,-8.32,3.08
4077672,HIPASSJ1739-67,264.8512,-67.8184,325.1885,-18.5636,9.45,3251,3062,0.00,0,4077672,4077672,1,3251,3062,11.255,,-38.34,-13.50,3.80
4078248,HIPASSJ1856-42,284.2443,-42.7030,353.9050,-18.9688,9.74,2965,2911,0.00,0,4078248,62529,1,2965,2911,11.446,,-29.49,-14.94,20.33
4078339,HIPASSJ1916-31,289.1596,-31.8566,6.0901,-18.8819,9.88,2035,2045,0.00,0,4078339,4078339,1,2035,2045,11.547,,-17.02,-10.90,18.30
4078612,HIPASSJ0517-32,79.3400,-32.7596,236.0110,-33.0527,7.78,813,610,0.00,0,4078612,16779,1,813,610,10.398,,-1.02,-3.67,-7.19
4078617,6dFJ1205288-373429,181.3699,-37.5747,292.9488,24.4046,10.51,2011,1733,0.00,0,4078617,4078617,1,2011,1733,12.097,,-19.16,10.45,-7.60
4078618,6dFJ1214433-352947,183.6806,-35.4963,294.5672,26.7785,8.70,2858,2587,0.00,0,39212,43296,6,2851,2581,13.076,12.812,-28.28,16.70,-10.11
4078630,6dFJ0535295-312409,83.8728,-31.4025,235.6010,-28.9948,9.56,3260,3048,0.00,0,4078630,4078630,1,3260,3048,11.324,,-5.09,-15.71,-37.13
4078633,6dFJ1026470-310859,156.6960,-31.1494,269.8567,22.2753,10.31,2129,1832,0.00,0,4078633,4078633,1,2129,1832,11.899,,-15.27,11.04,-15.55
4078637,HIPASSJ1334-29,203.7195,-29.0022,314.2519,32.9129,8.85,2237,2027,0.00,0,4078637,4078637,1,2237,2027,10.929,,-22.65,14.73,0.39
4078649,6dFJ0602154-235201,90.5641,-23.8670,229.8222,-20.9660,9.16,1803,1596,0.00,0,18258,18258,2,1834,1627,11.794,11.322,-1.48,-9.34,-35.71
4078650,6dFJ0939351-250735,144.8961,-25.1264,257.1505,20.2386,7.72,741,454,0.00,0,4078650,4078650,1,741,454,10.364,,-2.82,2.62,-4.67
4078651,6dFJ0942084-233544,145.5351,-23.5954,256.4379,21.7354,10.11,3332,3049,0.00,0,4078651,4078651,1,3332,3049,11.725,,-18.35,18.60,-31.15
4078652,6dFJ1002219-252116,150.5915,-25.3544,261.3918,23.5719,9.05,2404,2117,0.00,0,4078652,28876,1,2404,2117,11.029,,-14.47,13.58,-20.07
4078662,6dFJ1322295-214349,200.6229,-21.7303,312.4400,40.5675,9.66,1649,1453,0.00,0,46525,46490,12,1773,1576,13.137,13.114,-14.95,12.91,0.13
4078671,6dFJ0956376-092911,149.1567,-9.4863,247.6289,34.0180,7.42,627,388,0.00,0,4078671,4078671,1,627,388,10.215,,-1.48,3.32,-3.68
4078680,6dFJ2058053-583541,314.5220,-58.5948,337.8698,-39.2435,9.97,3440,3334,0.00,0,4078680,65600,1,3440,3334,11.615,,-32.25,-29.28,8.89
4078688,6dFJ2032101-493056,308.0421,-49.5159,349.7725,-36.3471,9.07,2565,2503,0.00,0,4078688,64192,1,2565,2503,11.045,,-22.70,-21.24,12.14
4078709,6dFJ1149529-385431,177.4704,-38.9086,290.0245,22.4154,8.54,2708,2421,0.00,0,36964,43296,3,2745,2458,12.502,9.491,-26.87,13.93,-12.44
4078722,6dFJ0325129-362210,51.3040,-36.3695,238.5617,-56.2700,8.87,1082,946,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.89,-13.45,-11.10
4078727,6dFJ0527261-353318,81.8588,-35.5548,239.7861,-31.6435,9.04,1336,1118,0.00,0,4078727,17433,1,1336,1118,11.025,,-2.73,-6.41,-13.18
4078732,6dFJ1121523-345459,170.4681,-34.9164,282.8657,24.4413,9.62,2516,2226,0.00,0,4078732,4078732,1,2516,2226,11.365,,-22.27,13.89,-13.86
4078734,6dFJ1118261-332539,169.6085,-33.4274,281.5143,25.5471,9.79,2754,2465,0.00,0,4078734,30308,1,2754,2465,11.481,,-24.03,16.00,-15.70
4078746,6dFJ0248331-293447,42.1379,-29.5798,225.3219,-64.1856,8.89,2140,2057,0.00,0,4078746,4078746,1,2140,2057,10.949,,0.42,-23.23,-14.58
4078757,6dFJ1051019-282017,162.7581,-28.3379,273.0963,27.4680,9.60,3497,3211,0.00,0,4078757,31478,1,3497,3211,11.354,,-27.20,22.55,-24.18
4078760,6dFJ1211186-311431,182.8277,-31.2419,292.9417,30.8503,9.13,2136,1873,0.00,0,38411,37061,25,2108,1845,13.238,12.969,-16.82,11.81,-6.38
