"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
89642,PGC089642,210.7272,24.8509,28.8678,73.7929,9.14,2311,2340,0.00,0,89642,89642,1,2311,2340,11.076,,-2.76,28.87,11.51
89747,PGC089747,40.5592,1.5772,170.2792,-50.8179,9.57,2998,3054,0.00,0,89747,89747,1,2998,3054,11.334,,21.60,-29.84,-17.37
89942,PGC089942,49.1833,65.0286,137.5050,6.3526,10.91,3167,3398,26.55,25,89942,2797282,1,3167,3398,12.547,,26.39,2.93,0.26
89976,PGC089976,64.1658,60.9245,145.4172,7.3622,9.89,1156,1355,0.00,0,89976,89976,1,1156,1355,11.551,,17.74,2.58,-2.24
89985,PGC089985,68.2024,29.4994,170.0904,-12.4717,10.87,2078,2158,16.75,18,89985,89985,1,2078,2158,12.505,,13.76,-2.62,-9.18
90033,PGC090033,88.9457,-19.0432,224.4359,-20.5530,10.29,3082,2894,0.00,0,90033,90033,1,3082,2894,11.882,,1.85,-9.49,-37.35
90034,PGC090034,91.5455,-0.5424,208.2079,-10.3063,10.22,2136,2013,0.00,0,90034,90034,1,2136,2013,11.816,,8.67,-2.03,-25.32
90106,PGC090106,141.1551,-67.2330,284.8462,-11.9476,9.99,3255,2950,0.00,0,90106,90106,1,3255,2950,11.625,,-32.45,-5.81,-21.46
90117,ESO127-011,153.0497,-62.5333,285.6854,-5.1207,10.78,3439,3129,0.00,0,90117,90117,1,3439,3129,12.401,,-35.36,-1.30,-22.10
90131,PGC090131,162.0423,-65.3245,290.5251,-5.4660,10.21,3360,3056,0.00,0,90131,90131,1,3360,3056,11.809,,-36.19,-1.84,-18.63
90146,PGC090146,170.9413,-4.7066,265.9840,51.7632,9.70,2799,2598,0.00,0,90146,35165,1,2799,2598,11.420,,-13.38,28.89,-13.65
90168,PGC090168,187.4175,-40.1228,298.4280,22.5586,8.96,3145,2873,0.00,0,40498,43296,24,3258,2986,13.713,13.207,-24.72,11.73,-7.24
90170,ESO172-010,191.9053,-53.5500,302.3575,9.3176,9.74,1835,1556,0.00,0,43176,43176,2,1852,1573,11.713,10.621,-19.97,3.96,-4.95
90183,PGC090183,207.0789,-50.9775,311.9934,10.8909,9.18,1417,1167,0.00,0,90183,45562,1,1417,1167,11.100,,-15.21,3.08,-1.10
90243,PGC090243,247.5919,-61.5405,326.1292,-8.9747,10.53,3317,3122,0.00,0,90243,57649,1,3317,3122,12.121,,-40.64,-7.14,5.51
90278,PGC090278,263.1183,-43.2666,346.4355,-5.3724,9.48,2548,2450,0.00,0,90278,90278,1,2548,2450,11.274,,-28.43,-4.78,15.37
90296,PGC090296,272.6562,-56.2779,337.7683,-16.9618,10.36,3581,3446,0.00,0,90296,90296,2,3592,3456,12.127,10.017,-41.30,-15.05,13.78
90298,PGC090298,273.0594,-58.2509,335.9583,-17.9410,10.22,2640,2497,0.00,0,61647,61647,2,2706,2564,12.137,12.057,-30.75,-11.58,9.12
90302,PGC090302,276.1601,1.8188,31.4937,6.7910,9.65,2845,2986,0.00,0,90302,90302,1,2845,2986,11.382,,-10.82,0.49,38.31
90333,PGC090333,294.2910,9.5851,46.7272,-5.6241,10.46,3085,3298,0.00,0,90333,90333,1,3085,3298,12.049,,-0.49,-9.10,43.02
90334,PGC090334,294.3875,-6.2181,32.5903,-13.0736,10.73,3090,3237,0.00,0,90334,90334,1,3090,3237,12.340,,-10.73,-14.18,39.33
90359,PGC090359,304.3811,72.1238,105.2983,19.4966,10.10,2409,2701,0.00,0,90359,90359,1,2409,2701,11.719,,28.77,9.96,19.24
90402,PGC090402,330.2766,71.9440,110.4855,13.3220,10.71,2498,2794,0.00,0,90402,90402,1,2498,2794,12.326,,32.33,6.73,17.24
90422,PGC090422,347.6332,67.6608,113.5457,6.6469,9.21,1478,1776,0.00,0,90422,90422,1,1478,1776,11.117,,21.52,1.68,9.74
90489,PGC090489,10.1798,-13.0428,112.3108,-75.6931,8.01,1556,1639,0.00,0,90489,90489,1,1556,1639,10.513,,4.89,-21.30,-0.06
90540,PGC090540,20.3490,-1.8628,140.0527,-63.7343,8.68,2217,2323,38.73,25,90540,90540,1,2217,2323,10.846,,17.12,-34.43,-4.62
90541,PGC090541,20.5230,0.0852,139.3274,-61.8069,8.51,2208,2322,0.00,0,90541,4946,1,2208,2322,10.762,,14.62,-27.07,-3.50
90553,PGC090553,23.8815,2.0315,144.6848,-58.9656,8.97,2612,2724,50.82,25,90553,90553,1,2612,2724,10.991,,25.98,-42.92,-8.11
90569,PGC090569,28.2919,20.6732,141.8740,-39.9171,8.47,2400,2571,0.00,0,90569,7525,1,2400,2571,10.738,,26.21,-21.64,-4.47
90624,PGC090624,38.9790,-4.2256,174.9559,-56.1529,7.85,1576,1613,0.00,0,90624,90624,1,1576,1613,10.430,,9.49,-16.95,-9.23
90694,PGC090694,56.8260,-14.6973,205.1601,-47.3320,8.87,1698,1628,23.23,25,90694,13166,1,1698,1628,10.940,,5.95,-15.37,-16.37
90718,PGC090718,68.8413,-8.9387,205.0249,-34.2435,9.16,1658,1571,0.00,0,90718,90718,1,1658,1571,11.090,,6.58,-9.95,-17.22
90728,PGC090728,72.9729,-5.9484,204.1154,-29.2311,8.43,2750,2661,0.00,0,16044,16044,7,2780,2695,12.590,11.662,15.95,-18.39,-39.38
90776,PGC090776,109.1742,30.2635,187.6639,18.3219,8.97,3288,3270,70.79,25,90776,90776,1,3288,3270,10.989,,42.93,27.81,-48.94
90815,PGC090815,120.1960,8.6390,212.9715,19.3105,8.38,2532,2388,65.46,25,90815,90815,1,2532,2388,10.696,,15.36,28.10,-57.09
90836,PGC090836,124.8794,72.9678,141.6615,32.2574,8.52,2239,2418,0.00,0,90836,23608,1,2239,2418,10.763,,27.19,17.33,-0.13
90866,PGC090866,130.4233,57.6514,159.5202,37.2704,8.82,2341,2443,0.00,0,4174139,24784,2,2331,2433,11.270,10.199,23.92,20.61,-7.51
90885,PGC090885,134.8125,-4.8807,233.4367,25.4993,8.69,3596,3377,0.00,0,25231,25231,2,3641,3421,12.316,11.258,-6.24,34.45,-55.24
90911,PGC090911,140.2103,-3.7829,235.8133,30.5767,8.80,3490,3273,0.00,0,90911,26223,1,3490,3273,10.903,,-5.52,26.16,-34.49
90941,PGC090941,146.3419,-13.7479,249.1564,29.1122,9.43,2532,2277,39.63,25,27982,27982,5,2407,2151,12.511,12.158,-12.90,22.80,-29.96
90942,PGC090942,146.3954,-14.4025,249.7477,28.7082,8.70,2452,2195,0.00,0,27982,27982,5,2407,2151,12.511,12.158,-13.25,22.49,-29.89
90973,PGC090973,150.4793,63.8927,147.4288,44.3279,8.68,1711,1844,0.00,0,90973,90973,1,1711,1844,10.846,,17.32,17.41,-1.16
90975,PGC090975,150.2928,0.9089,238.3670,41.4999,8.30,1346,1149,0.00,0,90975,90975,1,1346,1149,10.653,,-2.19,11.33,-10.08
90979,PGC090979,151.3382,77.7792,132.9105,35.9234,8.63,1956,2154,0.00,0,90979,90979,1,1956,2154,10.820,,23.19,16.55,3.65
91012,PGC091012,156.1552,11.9080,229.5073,52.3977,8.63,2431,2288,0.00,0,91012,91012,1,2431,2288,10.820,,-0.69,26.07,-15.83
91050,PGC091050,162.1947,19.1345,222.2231,60.7749,8.55,1856,1754,0.00,0,91050,34426,1,1856,1754,10.782,,1.02,21.54,-9.06
91071,PGC091071,164.8906,-6.2797,259.8027,47.0078,9.39,2523,2307,0.00,0,91071,33097,1,2523,2307,11.223,,-11.25,24.31,-15.12
91091,PGC091091,168.0643,8.6288,246.5566,60.1360,9.15,3309,3162,94.19,18,91091,91091,1,3309,3162,11.083,,-15.41,86.06,-35.03
91112,PGC091112,171.0550,26.2455,210.5510,70.5226,8.73,1485,1431,0.00,0,91112,41220,1,1485,1431,10.872,,1.84,18.55,-4.07
91142,PGC091142,176.5374,12.8796,252.7266,69.1106,8.86,3293,3180,0.00,0,91142,36200,1,3293,3180,10.937,,-6.47,40.88,-9.22
91149,PGC091149,178.4412,-8.0164,279.2217,52.1803,9.27,2469,2268,0.00,0,91149,91149,1,2469,2268,11.149,,-14.58,25.00,-8.75
91158,PGC091158,179.6910,41.3928,156.7217,72.1034,9.14,3308,3346,0.00,0,91158,91158,1,3308,3346,11.079,,12.94,42.70,0.16
91165,PGC091165,180.8216,26.5780,213.1277,79.2502,9.32,3271,3235,0.00,0,91165,91165,1,3271,3235,11.179,,1.98,42.98,-3.09
91181,PGC091181,183.2494,7.2990,276.4837,68.1743,8.11,2197,2072,0.00,0,41220,41220,714,1336,1240,14.656,14.867,-4.74,16.02,-2.36
91191,PGC091191,184.8579,0.2134,285.6795,62.0083,7.46,862,708,0.00,0,39799,41220,2,882,729,10.789,10.322,-3.87,8.77,-1.43
91195,PGC091195,185.8750,2.0080,286.8356,64.0032,8.87,1814,1671,0.00,0,91195,41220,1,1814,1671,10.941,,-8.41,20.45,-2.73
91215,PGC091215,189.2289,1.6150,294.5542,64.2503,7.38,591,454,0.00,0,91215,91215,1,591,454,10.193,,-2.42,5.53,-0.41
91219,PGC091219,190.3706,-3.2538,298.0280,59.5231,8.17,1806,1651,0.00,0,91219,41220,1,1806,1651,10.592,,-10.53,19.26,-1.59
91228,PGC091228,191.7526,32.6516,132.5163,84.3941,7.54,519,536,0.00,0,42637,47404,10,633,647,12.199,12.594,0.62,6.33,0.75
91229,PGC091229,191.8379,72.2137,123.3726,44.9111,8.54,1629,1821,0.00,0,43426,43426,3,1599,1794,12.459,9.193,19.66,19.54,7.10
91242,PGC091242,195.2784,-3.3762,307.6806,59.4063,9.01,2924,2781,0.00,0,91242,91242,1,2924,2781,11.009,,-18.60,32.07,0.36
91258,PGC091258,197.0586,-16.2395,308.7873,46.4413,9.01,2790,2603,0.00,0,46247,46247,56,2488,2304,13.751,13.735,-19.26,20.68,-0.63
91299,PGC091299,204.0101,8.1856,334.1293,68.3127,7.63,1256,1188,31.05,18,48130,41220,11,1153,1089,12.322,11.935,-5.31,13.68,3.12
91337,PGC091337,212.4703,20.3099,16.3182,70.8237,8.28,2296,2309,0.00,0,91337,50613,1,2296,2309,10.643,,-5.22,27.95,11.81
91347,PGC091347,213.6417,-4.4176,338.5609,52.6069,9.40,2690,2599,0.00,0,1063216,1063216,4,2745,2655,11.567,11.943,-31.65,42.80,17.09
91372,PGC091372,219.1479,49.4181,87.8335,59.9282,8.52,2272,2423,0.00,0,51978,51978,14,2215,2365,13.041,12.888,12.33,31.02,17.98
91381,PGC091381,220.3005,-17.6461,336.7549,37.9128,9.48,3421,3299,0.00,0,91381,91381,2,3429,3306,11.382,9.790,-32.80,25.65,14.45
91386,PGC091386,220.9300,79.7678,116.9990,36.0316,8.92,2192,2425,0.00,0,91386,91386,1,2192,2425,10.967,,24.51,17.90,11.14
91399,PGC091399,222.5146,83.3040,118.9923,32.8919,9.26,1816,2055,0.00,0,91399,91399,1,1816,2055,11.146,,21.83,13.99,8.85
91408,PGC091408,225.7310,-13.3295,345.3583,38.4790,9.26,2514,2427,0.00,0,91408,91408,1,2514,2427,11.146,,-22.37,18.71,14.03
91413,PGC091413,226.6387,-12.7171,346.7285,38.4053,8.99,2331,2249,51.76,25,91413,91413,1,2331,2249,11.000,,-35.35,29.77,23.30
91421,PGC091421,228.0762,71.2653,108.5663,41.7099,8.46,1532,1757,0.00,0,91421,91421,1,1532,1757,10.735,,15.33,14.56,10.09
91426,PGC091426,228.8838,49.6205,81.9797,54.4563,8.63,2506,2680,0.00,0,91426,91426,1,2506,2680,10.820,,11.80,27.02,20.19
91432,PGC091432,229.9495,3.9781,6.3435,47.7192,8.56,1712,1712,0.00,0,91432,53932,1,1712,1712,10.787,,-10.08,15.51,13.37
91528,PGC091528,245.2092,63.1210,94.7433,40.7308,9.05,3074,3310,0.00,0,91528,57722,1,3074,3310,11.029,,24.61,26.13,25.68
91667,PGC091667,304.3712,-10.8474,32.7266,-23.9746,9.07,1858,1998,27.42,25,91667,91667,1,1858,1998,11.045,,-6.33,-13.74,22.87
91689,PGC091689,315.9495,-17.7730,30.4486,-37.0054,8.96,3131,3246,0.00,0,91689,91689,1,3131,3246,10.988,,-10.06,-29.53,30.00
91742,PGC091742,338.2804,72.4790,112.8577,12.3702,9.84,2597,2890,52.72,25,91742,91742,1,2597,2890,11.516,,46.86,8.87,22.48
91755,PGC091755,341.8092,75.7554,115.3911,14.7352,9.52,1551,1837,17.62,25,69472,69472,2,1553,1840,11.915,9.358,20.08,4.77,8.68
91800,PGC091800,351.1755,-2.7918,78.7592,-58.0203,8.93,2545,2714,0.00,0,91800,91800,1,2545,2714,10.968,,9.98,-32.31,12.88
91882,PGC091882,9.0288,-36.6217,320.8575,-79.9673,8.79,1527,1497,0.00,0,91882,1851,1,1527,1497,10.899,,-3.47,-19.56,-1.95
92083,PGC092083,68.4830,-20.2241,217.8085,-38.9883,8.10,1599,1469,0.00,0,92083,15850,1,1599,1469,10.558,,2.53,-10.60,-16.28
92107,PGC092107,75.4034,-22.2555,222.7751,-33.5370,8.40,1385,1226,0.00,0,92107,92107,1,1385,1226,10.705,,1.09,-7.48,-14.49
92177,PGC092177,90.4305,-34.9452,241.1383,-24.7209,7.85,1299,1062,0.00,0,92177,92177,1,1299,1062,10.430,,-3.06,-4.51,-13.07
92241,PGC092241,129.2452,-20.8792,244.1132,11.9489,9.20,2575,2305,0.00,0,24225,24225,2,2562,2292,11.789,9.967,-8.62,9.45,-27.78
92243,PGC092243,130.6534,-55.3933,272.4420,-8.0254,9.80,2786,2472,0.00,0,92243,26592,1,2786,2472,11.491,,-23.11,-2.04,-23.42
92244,PGC092244,132.4775,-20.6503,245.7561,14.5235,9.32,3231,2960,31.05,25,92244,24913,1,3231,2960,11.182,,-9.48,10.88,-27.49
92253,PGC092253,140.9210,-23.2458,253.0489,18.9157,8.59,2481,2198,0.00,0,26601,26601,3,2565,2283,12.521,9.916,-14.30,14.51,-28.31
92255,PGC092255,143.1468,-59.8930,280.3007,-6.0728,10.16,2978,2664,0.00,0,92255,26592,1,2978,2664,11.771,,-28.18,-1.39,-21.57
92270,PGC092270,146.0209,-25.2030,257.9847,20.8963,8.99,2505,2217,0.00,0,92270,92270,1,2505,2217,10.998,,-14.06,13.10,-22.46
92721,PGC092721,331.3345,-20.6137,33.5033,-51.6450,8.64,2755,2857,0.00,0,67904,67904,3,2557,2658,12.966,13.225,-5.32,-30.23,18.32
92835,PGC092835,3.4112,15.6746,109.7254,-46.2257,8.46,1958,2177,0.00,0,92835,92835,2,1959,2177,10.799,7.533,17.79,-21.86,6.95
92910,PGC092910,152.3225,5.4038,234.9139,45.7511,8.11,1715,1539,0.00,0,92910,27762,1,1715,1539,10.561,,-1.88,16.17,-12.49
93080,PGC093080,21.1437,3.7897,138.7026,-58.0638,10.22,2189,2317,0.00,0,4946,4946,13,2251,2382,13.471,12.674,17.34,-27.62,-3.46
93081,PGC093081,23.1209,4.5949,141.8346,-56.7629,8.88,1954,2079,0.00,0,5744,5744,3,1969,2094,11.467,9.917,15.24,-23.06,-3.75
93084,PGC093084,61.1166,-2.1738,193.0518,-37.5471,8.64,790,758,0.00,0,14409,14409,3,859,828,11.297,11.253,4.47,-5.33,-7.18
93119,PGC093119,193.7697,8.0663,305.6896,70.9185,9.91,2474,2378,0.00,0,43998,43998,10,2711,2615,12.662,12.619,-11.06,32.71,1.32
93517,PGC093517,279.5334,-63.7034,331.5788,-22.7007,9.80,3669,3512,0.00,0,62099,62099,2,3602,3445,11.921,12.167,-41.16,-18.80,8.40
93576,PGC093576,284.3754,-62.7694,333.1344,-24.5962,9.44,3436,3288,0.00,0,93576,93576,1,3436,3288,11.248,,-38.36,-19.33,8.76
93585,PGC093585,76.5739,44.2001,162.9614,2.0255,9.81,3257,3374,0.00,0,93585,93585,1,3257,3374,11.498,,40.55,3.72,-19.13
93597,PGC093597,162.8043,28.0062,204.0055,63.4098,8.93,1169,1115,0.00,0,32533,34426,14,1451,1396,12.358,12.846,4.34,22.84,-7.58
93841,PGC093841,21.9054,8.8400,137.8845,-52.9781,8.98,2435,2581,0.00,0,5222,4946,15,2407,2558,13.497,13.130,18.80,-24.76,-2.91
93842,PGC093842,22.7199,4.6668,141.0980,-56.8074,8.88,2047,2174,0.00,0,93842,4946,1,2047,2174,10.943,,15.83,-24.00,-3.70
93843,PGC093843,22.8390,19.2136,135.7894,-42.6593,8.99,2924,3106,0.00,0,93843,93843,1,2924,3106,10.998,,30.44,-27.99,-2.25
93844,PGC093844,22.9003,13.3312,137.7318,-48.3830,8.64,2749,2909,0.00,0,93844,93844,1,2749,2909,10.826,,25.76,-28.81,-3.35
93845,PGC093845,174.6024,17.0872,239.9069,70.3662,10.75,3450,3354,0.00,0,36200,36200,20,3401,3308,13.176,12.890,-3.22,42.94,-9.82
94008,PGC094008,21.3961,7.9908,137.3866,-53.9198,9.01,2928,3072,0.00,0,5281,5281,3,2954,3098,11.744,8.628,24.30,-33.15,-3.68
95165,PGC095165,345.4735,-38.4947,359.5655,-64.4649,8.78,1189,1184,0.00,0,95165,70069,1,1189,1184,10.898,,-5.04,-14.66,2.97
95478,PGC095478,346.6481,-36.2498,4.0673,-66.0007,9.53,2599,2605,0.00,0,70505,70505,4,2696,2702,12.522,11.685,-9.51,-32.05,6.60
95590,PGC095590,65.6322,85.8380,126.5749,24.5637,9.55,1706,1948,0.00,0,95590,95590,1,1706,1948,11.320,,23.20,10.24,5.59
95594,PGC095594,89.9194,73.4277,140.4227,22.3461,7.02,106,308,0.00,0,95594,28630,1,106,308,10.017,,3.79,1.57,-0.03
95597,PGC095597,101.9406,80.1239,133.9834,26.5373,6.80,11,228,3.37,7,95597,28630,1,11,228,9.903,,3.01,1.48,0.34
95598,PGC095598,101.6633,60.1458,155.5851,22.7198,8.53,1794,1934,0.00,0,95598,19688,1,1794,1934,10.769,,22.59,10.72,-6.29
95601,PGC095601,127.2684,78.8365,134.8314,31.2360,8.07,1399,1603,0.00,0,95601,95601,1,1399,1603,10.540,,18.26,10.93,2.02
95604,PGC095604,137.2486,60.0629,155.5822,40.2410,8.52,1573,1686,0.00,0,25915,25915,10,1337,1450,12.831,12.907,16.94,15.62,-3.88
95608,PGC095608,156.7881,63.1514,145.8949,47.0308,8.11,1207,1337,0.00,0,95608,95608,1,1207,1337,10.562,,12.02,13.16,-0.35
95610,PGC095610,180.1323,85.1416,124.1907,31.8617,9.11,1841,2072,0.00,0,95610,44219,1,1841,2072,11.064,,22.85,13.91,6.92
95611,PGC095611,184.9675,75.1611,125.6356,41.8011,8.56,1421,1619,0.00,0,39791,38524,14,1604,1802,12.918,12.932,17.01,15.05,5.22
95619,PGC095619,206.4665,65.3861,114.0151,50.7896,8.69,1729,1913,0.00,0,95619,95619,1,1729,1913,10.852,,14.80,18.94,8.53
95620,PGC095620,217.8253,58.7614,101.1069,53.9299,8.56,3083,3263,0.00,0,95620,95620,1,3083,3263,10.787,,20.65,33.28,18.93
95737,PGC095737,272.7426,14.1269,41.2479,15.2421,9.54,2252,2433,0.00,0,61512,61512,2,2266,2447,11.991,9.782,-3.36,5.08,32.03
95741,PGC095741,274.7029,13.3329,41.3351,13.1806,8.69,3063,3246,0.00,0,61713,61536,5,2885,3067,12.705,12.721,-4.21,4.94,40.62
96409,PGC096409,128.0274,-21.0718,243.6060,10.9083,10.28,3721,3452,0.00,0,96409,24195,1,3721,3452,11.876,,-12.64,13.43,-42.17
96428,PGC096428,134.8980,-25.3606,250.9928,13.3752,9.82,2028,1743,0.00,0,96428,23222,2,1986,1701,11.560,11.487,-8.86,7.46,-19.56
96431,PGC096431,135.5779,-55.9493,274.6454,-6.2259,8.87,1669,1354,0.00,0,96431,96431,1,1669,1354,10.942,,-13.18,-0.60,-12.32
96438,PGC096438,137.9307,-63.1790,280.8982,-10.1479,9.82,3087,2777,0.00,0,26592,26592,9,3092,2782,13.188,13.134,-29.36,-4.10,-22.29
96441,PGC096441,139.5197,-61.9029,280.4591,-8.7418,9.38,3182,2870,0.00,0,96441,26592,2,3178,2867,11.267,9.037,-30.21,-3.28,-23.19
96462,PGC096462,149.6547,-47.0833,274.9687,6.1886,9.96,3572,3255,0.00,0,96462,96462,1,3572,3255,11.604,,-31.86,7.85,-28.40
96465,PGC096465,151.0827,-44.4256,274.1419,8.9058,9.85,3734,3419,0.00,0,29319,30308,3,3535,3220,12.655,12.791,-31.10,9.87,-28.32
96472,PGC096472,153.1676,-64.0315,286.5903,-6.3193,10.10,3258,2950,0.00,0,96472,5060468,1,3258,2950,11.719,,-33.59,-2.10,-20.36
96492,PGC096492,164.2386,-50.0008,284.7787,8.7925,10.00,2795,2484,0.00,0,32877,30308,5,2788,2477,12.874,11.848,-27.51,6.96,-16.92
96553,PGC096553,219.0281,-54.4145,317.8700,5.3931,10.12,3118,2886,0.00,0,166345,51925,5,2957,2727,12.684,11.942,-36.41,3.38,0.69
96569,PGC096569,233.9221,-71.7896,315.0898,-12.9111,10.34,3280,3046,0.00,0,96569,96569,1,3280,3046,11.927,,-39.56,-8.84,-2.56
96602,PGC096602,265.6605,-58.8323,333.6732,-14.7123,9.56,2746,2590,0.00,0,96602,59216,1,2746,2590,11.326,,-32.06,-9.75,8.35
96996,PGC096996,31.2526,-9.6930,171.2784,-65.4004,8.11,1958,1996,0.00,0,7998,5663,7,1915,1952,11.565,11.260,9.01,-22.91,-8.63
97055,PGC097055,69.9555,36.8342,165.4916,-6.5225,10.16,2949,3054,0.00,0,97055,97055,1,2949,3054,11.769,,35.68,-2.50,-19.46
97059,PGC097059,71.8520,48.9102,157.2528,2.4264,11.17,2915,3061,0.00,0,97059,97059,1,2915,3061,12.846,,38.35,3.24,-13.59
97136,PGC097136,89.2392,11.8251,196.1165,-6.4126,10.16,3496,3434,48.53,25,18136,18136,2,3540,3479,12.806,11.470,24.99,-0.85,-41.52
97144,PGC097144,90.0718,35.7503,175.6791,6.1160,10.20,2890,2939,0.00,0,97144,18458,1,2890,2939,11.798,,30.57,6.81,-23.55
97146,PGC097146,90.6477,22.0312,187.8916,-0.1983,9.63,2593,2575,0.00,0,97146,97146,1,2593,2575,11.369,,21.83,2.80,-26.35
97148,PGC097148,90.7001,-3.2872,210.3005,-12.3156,9.69,2499,2366,0.00,0,97148,97148,1,2499,2366,11.413,,9.05,-3.45,-30.02
97204,PGC097204,107.7986,6.3184,209.5264,7.2583,9.90,3578,3444,0.00,0,20314,20314,2,3594,3460,11.886,10.588,14.02,10.58,-42.64
97214,PGC097214,111.9412,12.9467,205.2825,13.8316,9.01,2193,2082,0.00,0,97214,97214,1,2193,2082,11.013,,10.14,9.35,-24.09
97237,PGC097237,325.7850,44.9185,91.4980,-6.1558,9.68,1582,1899,0.00,0,97237,97237,1,1582,1899,11.401,,17.53,-4.69,17.66
97243,PGC097243,312.3864,58.1065,95.1972,8.9405,10.02,2765,3078,39.26,25,97243,97243,1,2765,3078,11.651,,28.74,3.20,26.55
97266,PGC097266,346.7287,50.7806,106.5675,-8.7399,9.66,3034,3343,0.00,0,97266,97266,1,3034,3343,11.393,,37.84,-9.22,21.68
99542,PGC099542,203.5183,-32.3600,313.2889,29.6529,8.70,1841,1621,0.00,0,99542,46490,1,1841,1621,10.854,,-18.73,10.78,-0.15
99754,PGC099754,208.3282,40.3163,82.7427,71.6307,9.56,2690,2780,0.00,0,49356,49356,61,2408,2498,13.772,13.483,5.91,29.65,11.66
99782,PGC099782,211.1791,55.4352,102.8324,58.7409,8.95,1534,1690,0.00,0,50191,50191,31,1862,2017,13.121,13.281,11.86,22.68,10.73
99823,PGC099823,216.3540,51.5541,93.3700,59.8396,8.76,1984,2136,0.00,0,51568,50191,3,1945,2099,11.610,10.788,10.13,23.02,12.39
99965,PGC099965,159.2863,-26.7872,269.2333,27.1580,9.86,3878,3593,0.00,0,31478,31478,185,3686,3399,14.422,14.497,-28.35,25.15,-29.05
100029,PGC100029,55.3629,-22.4728,215.6421,-51.3159,8.59,2232,2136,0.00,0,13419,13418,29,1681,1585,13.326,13.246,2.65,-14.81,-14.51
100030,PGC100030,114.1612,-69.4468,281.2228,-21.4521,8.92,1328,1037,0.00,0,21373,21373,12,1403,1112,12.827,12.217,-15.84,-6.39,-12.35
100031,PGC100031,156.5431,-39.9430,274.9073,14.8951,10.08,2843,2534,0.00,0,30671,30308,11,2765,2456,13.382,13.064,-30.51,14.01,-26.54
100032,PGC100032,172.2954,-36.3746,284.9541,23.6090,9.47,2920,2630,0.00,0,35417,43296,8,2927,2637,12.989,12.556,-27.75,16.22,-15.94
100042,PGC100042,130.8653,-56.2080,273.1692,-8.4253,10.21,2754,2441,0.00,0,100042,26592,1,2754,2441,11.809,,-23.08,-2.27,-22.83
100050,PGC100050,133.7385,-58.9191,276.2863,-8.9003,9.94,2483,2170,0.00,0,100050,100050,1,2483,2170,11.590,,-21.55,-2.38,-19.16
100060,PGC100060,145.4319,-60.7987,281.7546,-5.9858,10.05,3070,2757,0.00,0,100060,26592,1,3070,2757,11.679,,-29.72,-1.46,-21.58
100070,PGC100070,153.4998,-51.7609,279.7638,3.8856,10.08,2948,2631,0.00,0,100070,30308,1,2948,2631,11.703,,-27.73,4.72,-20.97
100071,PGC100071,153.9310,-67.9240,289.0848,-9.3429,9.31,1989,1686,0.00,0,29311,29311,9,1825,1521,12.951,12.952,-19.77,-2.50,-10.98
100080,PGC100080,155.0469,-64.0169,287.2678,-5.8461,10.51,3783,3475,0.00,0,100080,31099,1,3783,3475,12.100,,-39.88,-2.14,-23.50
100096,ESO169-002,162.0581,-53.3016,285.0358,5.2347,10.20,2712,2400,0.00,0,100096,100096,1,2712,2400,11.803,,-26.93,4.78,-16.62
100123,PGC100123,162.2372,-51.9586,284.5161,6.4790,9.83,2825,2513,0.00,0,100123,30308,1,2825,2513,11.511,,-27.97,5.75,-17.53
100169,PGC100169,31.5225,69.0033,129.5671,7.0989,8.78,35,293,0.00,0,100169,100169,1,35,293,10.893,,3.84,0.42,0.58
100170,"Dwingeloo 1",44.2158,58.9116,138.5185,-0.1113,9.28,112,341,0.00,0,9892,9892,8,105,341,12.690,11.930,3.46,0.00,-0.07
100707,PGC100707,190.4469,32.8573,142.3771,83.9024,7.58,693,708,0.00,0,42637,47404,10,633,647,12.199,12.594,0.70,6.56,0.66
100710,PGC100710,98.6262,-31.1063,239.7132,-16.9671,8.10,1617,1370,0.00,0,100710,100710,1,1617,1370,10.553,,-3.74,-3.42,-17.55
100711,PGC100711,142.3593,-30.4150,259.4102,14.9128,7.80,1077,778,0.00,0,100711,25950,1,1077,778,10.403,,-5.32,3.59,-8.15
100720,PGC100720,101.2750,-27.4091,237.1153,-13.4003,8.25,1847,1604,0.00,0,19617,19617,28,2070,1827,13.535,13.504,-3.49,-2.65,-20.75
100726,PGC100726,147.6174,-30.8671,263.1566,17.6951,8.39,2390,2090,0.00,0,100726,100726,1,2390,2090,10.701,,-15.52,10.79,-20.47
100728,PGC100728,154.0283,-39.9901,273.2866,13.7764,8.61,3004,2693,0.00,0,100728,30308,1,3004,2693,10.810,,-25.05,11.17,-23.17
100730,PGC100730,154.4654,-33.4004,269.5969,19.3489,8.64,2747,2446,0.00,0,29993,30308,6,2833,2531,12.606,12.713,-20.45,13.10,-21.22
